               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,           0.0097031,            0.010369,          0.00025742,             0.33756,             0.98408,             0.33674,             0.22685,           0.0034442,           0.0079076,          4.0012e-05,             0.16458,           0.0004008,           0.0004008
                   1,           0.0073136,           0.0057427,          0.00029376,             0.38577,             0.78499,               0.574,             0.42782,           0.0030659,           0.0051705,          5.4726e-05,             0.14076,          0.00082791,          0.00082791
                   2,           0.0066743,            0.004444,           0.0002929,             0.85484,             0.75564,              0.8943,             0.66258,           0.0029632,           0.0038806,          6.8139e-05,             0.11692,           0.0012477,           0.0012477
                   3,           0.0061097,           0.0040154,          0.00027676,             0.98273,             0.90639,              0.9738,             0.72339,           0.0029582,           0.0032088,          7.1275e-05,            0.093079,             0.00166,             0.00166
                   4,           0.0051351,           0.0039665,          0.00027257,             0.98401,             0.96201,              0.9909,              0.7446,           0.0028489,           0.0028419,          6.8675e-05,             0.06923,            0.002065,            0.002065
                   5,           0.0046239,           0.0037288,           0.0002849,             0.98782,             0.98209,             0.99312,             0.75046,           0.0028712,           0.0026102,          5.9554e-05,            0.045374,           0.0024627,           0.0024627
                   6,           0.0045522,           0.0035291,           0.0002577,             0.98715,             0.98721,             0.99083,             0.76529,           0.0027058,           0.0024286,          5.8935e-05,             0.02151,           0.0028529,           0.0028529
                   7,           0.0046728,           0.0036477,            0.000245,             0.98723,             0.98831,             0.99103,             0.75346,           0.0028357,            0.002295,          5.2167e-05,           0.0031416,           0.0031416,           0.0031416
                   8,           0.0044221,           0.0034496,          0.00022782,             0.98823,             0.98895,             0.99081,             0.77088,           0.0026669,           0.0021983,          5.0145e-05,           0.0031416,           0.0031416,           0.0031416
                   9,           0.0045668,           0.0032723,          0.00025089,             0.99092,             0.98901,             0.99118,             0.75779,           0.0027963,           0.0021146,          4.5027e-05,           0.0031132,           0.0031132,           0.0031132
                  10,           0.0043049,           0.0031366,          0.00019935,             0.98931,             0.98918,              0.9914,             0.75109,           0.0028656,           0.0020582,          4.2922e-05,           0.0030849,           0.0030849,           0.0030849
                  11,           0.0040554,           0.0031538,          0.00020013,             0.98814,             0.98693,             0.99148,             0.76237,           0.0027763,           0.0020003,          4.0838e-05,           0.0030566,           0.0030566,           0.0030566
                  12,           0.0045144,            0.003195,          0.00025306,             0.98686,             0.98653,             0.99143,             0.75011,           0.0029016,           0.0019636,          4.0405e-05,           0.0030282,           0.0030282,           0.0030282
                  13,           0.0042711,           0.0029093,           0.0002042,             0.98772,             0.98525,             0.99164,             0.76943,           0.0027046,           0.0019295,          3.5988e-05,           0.0029999,           0.0029999,           0.0029999
                  14,           0.0043008,           0.0029337,          0.00018479,             0.98641,             0.98543,             0.99165,               0.754,           0.0028605,           0.0019008,          3.5225e-05,           0.0029715,           0.0029715,           0.0029715
                  15,           0.0041376,            0.002925,          0.00019788,             0.98631,             0.98792,               0.992,             0.76622,           0.0027366,            0.001856,            3.57e-05,           0.0029432,           0.0029432,           0.0029432
                  16,           0.0043876,            0.002887,          0.00019732,             0.98885,             0.98781,             0.99139,             0.76718,           0.0027022,           0.0018235,          3.4585e-05,           0.0029148,           0.0029148,           0.0029148
                  17,           0.0044321,           0.0028053,          0.00021772,             0.98681,             0.98781,             0.99148,             0.75285,           0.0028169,           0.0017854,          3.2604e-05,           0.0028865,           0.0028865,           0.0028865
                  18,           0.0042213,           0.0026914,          0.00018728,             0.98654,             0.98851,             0.99132,             0.74843,           0.0028271,           0.0017529,          3.2625e-05,           0.0028581,           0.0028581,           0.0028581
                  19,           0.0042903,           0.0027108,          0.00021384,              0.9856,             0.98817,             0.99135,             0.74704,           0.0028527,           0.0017177,          3.1325e-05,           0.0028298,           0.0028298,           0.0028298
                  20,           0.0043024,           0.0026848,          0.00019059,             0.99023,             0.98888,             0.99147,              0.7675,           0.0026848,            0.001668,          3.0334e-05,           0.0028014,           0.0028014,           0.0028014
                  21,           0.0042724,           0.0027945,          0.00019221,             0.98761,             0.98852,             0.99141,             0.75668,           0.0027682,           0.0016287,          2.8642e-05,           0.0027731,           0.0027731,           0.0027731
                  22,           0.0040171,           0.0026827,          0.00016581,             0.98973,             0.98781,             0.99142,             0.76936,           0.0026412,           0.0015933,          2.7755e-05,           0.0027448,           0.0027448,           0.0027448
                  23,           0.0040719,           0.0025838,          0.00019681,             0.99035,             0.98641,             0.99144,             0.76367,           0.0026998,           0.0015718,          2.6682e-05,           0.0027164,           0.0027164,           0.0027164
                  24,           0.0042128,           0.0026937,          0.00017802,             0.99025,             0.98653,             0.99146,             0.76244,           0.0027109,           0.0015361,          2.6352e-05,           0.0026881,           0.0026881,           0.0026881
                  25,           0.0043299,           0.0026447,           0.0001965,             0.99183,             0.98374,             0.99154,              0.7564,            0.002767,           0.0015301,          2.5836e-05,           0.0026597,           0.0026597,           0.0026597
                  26,            0.004228,           0.0026113,          0.00018192,             0.98773,             0.98525,             0.99152,             0.74537,           0.0028877,           0.0015128,          2.5299e-05,           0.0026314,           0.0026314,           0.0026314
                  27,           0.0042344,           0.0025915,          0.00018164,             0.98555,             0.98794,             0.99149,             0.77249,            0.002635,           0.0014806,          2.7218e-05,            0.002603,            0.002603,            0.002603
                  28,           0.0041506,           0.0026017,          0.00017672,             0.98423,             0.99012,             0.99148,             0.76548,           0.0026992,           0.0014685,          2.5196e-05,           0.0025747,           0.0025747,           0.0025747
                  29,            0.004149,           0.0025499,           0.0001596,              0.9845,             0.99009,              0.9915,             0.74571,           0.0028795,           0.0014651,          2.5093e-05,           0.0025463,           0.0025463,           0.0025463
                  30,           0.0042024,           0.0025772,          0.00018458,             0.98433,             0.99048,             0.99155,              0.7592,           0.0027831,           0.0014465,          2.4763e-05,            0.002518,            0.002518,            0.002518
                  31,           0.0042507,           0.0024746,           0.0001797,             0.98566,             0.99048,              0.9916,             0.75737,            0.002782,           0.0014353,          2.4783e-05,           0.0024897,           0.0024897,           0.0024897
                  32,           0.0042046,           0.0024354,          0.00018932,             0.98403,             0.99048,             0.99162,              0.7775,           0.0025872,            0.001408,          2.3772e-05,           0.0024613,           0.0024613,           0.0024613
                  33,           0.0042795,           0.0024652,          0.00018286,             0.98631,             0.99048,             0.99168,             0.75031,            0.002849,           0.0014177,          2.3834e-05,            0.002433,            0.002433,            0.002433
                  34,           0.0042417,           0.0024481,          0.00019407,             0.98647,             0.99048,             0.99172,             0.76884,           0.0026786,           0.0013973,          2.4206e-05,           0.0024046,           0.0024046,           0.0024046
                  35,           0.0042209,           0.0024675,          0.00020234,             0.98786,             0.98906,             0.99177,               0.767,           0.0027171,           0.0013863,          2.3483e-05,           0.0023763,           0.0023763,           0.0023763
                  36,           0.0041291,           0.0025075,          0.00017801,             0.98607,             0.98664,             0.99201,             0.75493,           0.0028153,           0.0013902,          2.3648e-05,           0.0023479,           0.0023479,           0.0023479
                  37,           0.0039828,           0.0024349,          0.00017079,             0.98531,             0.99187,             0.99407,             0.76383,           0.0027495,            0.001377,           2.239e-05,           0.0023196,           0.0023196,           0.0023196
                  38,           0.0042216,           0.0025798,          0.00019419,             0.98592,             0.99018,             0.99201,             0.76078,           0.0027817,           0.0013752,           2.272e-05,           0.0022912,           0.0022912,           0.0022912
                  39,           0.0038434,            0.002402,          0.00012381,             0.98392,             0.99187,               0.994,             0.76418,            0.002744,           0.0013669,          2.1544e-05,           0.0022629,           0.0022629,           0.0022629
                  40,           0.0042248,           0.0024713,          0.00016903,             0.98548,             0.99048,               0.992,             0.77423,           0.0026292,           0.0013525,          2.2059e-05,           0.0022345,           0.0022345,           0.0022345
                  41,           0.0038208,           0.0024432,          0.00015605,             0.98973,             0.98787,             0.99201,             0.76935,           0.0026807,           0.0013575,          2.1378e-05,           0.0022062,           0.0022062,           0.0022062
                  42,           0.0040183,           0.0023862,          0.00016757,             0.98883,             0.98781,             0.99205,             0.76063,           0.0027505,           0.0013539,          2.1193e-05,           0.0021779,           0.0021779,           0.0021779
                  43,           0.0041631,           0.0024373,          0.00016461,             0.98811,             0.98735,             0.99396,             0.76814,           0.0027037,           0.0013447,          2.0842e-05,           0.0021495,           0.0021495,           0.0021495
                  44,           0.0042772,           0.0024877,          0.00016903,             0.98974,              0.9879,             0.99399,             0.77383,           0.0026509,           0.0013365,          1.9913e-05,           0.0021212,           0.0021212,           0.0021212
                  45,           0.0041347,           0.0023512,           0.0001691,             0.98921,             0.98846,             0.99394,             0.78334,           0.0025541,           0.0013213,          1.8964e-05,           0.0020928,           0.0020928,           0.0020928
                  46,           0.0042913,           0.0024004,          0.00019787,             0.98765,              0.9892,             0.99404,             0.76894,           0.0027138,           0.0013336,          1.9356e-05,           0.0020645,           0.0020645,           0.0020645
                  47,           0.0040837,            0.002377,          0.00015458,             0.98714,              0.9892,             0.99401,             0.74082,           0.0029586,           0.0013547,          1.9191e-05,           0.0020361,           0.0020361,           0.0020361
                  48,           0.0042465,           0.0024765,          0.00020765,             0.98747,              0.9892,             0.99401,             0.76507,           0.0027466,           0.0013321,          1.9243e-05,           0.0020078,           0.0020078,           0.0020078
                  49,           0.0040463,           0.0023286,          0.00016297,             0.98738,              0.9892,             0.99402,             0.77236,           0.0027025,           0.0013233,           1.883e-05,           0.0019794,           0.0019794,           0.0019794
                  50,           0.0043731,           0.0024905,          0.00020545,             0.98614,              0.9892,             0.99401,             0.76693,           0.0027333,           0.0013203,          1.9336e-05,           0.0019511,           0.0019511,           0.0019511
                  51,           0.0040094,           0.0023232,          0.00015652,             0.98627,              0.9892,              0.9939,             0.74801,           0.0028911,           0.0013313,           1.979e-05,           0.0019228,           0.0019228,           0.0019228
                  52,           0.0041523,           0.0023831,          0.00015772,             0.98738,             0.98858,             0.99386,             0.77685,           0.0026282,           0.0013046,          2.0078e-05,           0.0018944,           0.0018944,           0.0018944
                  53,           0.0040464,           0.0023551,          0.00016111,             0.98824,             0.98821,             0.99388,             0.75974,           0.0028016,           0.0013214,          1.8851e-05,           0.0018661,           0.0018661,           0.0018661
                  54,           0.0041461,           0.0024739,          0.00016475,             0.98718,             0.98781,             0.99387,             0.76577,            0.002736,           0.0013196,           1.817e-05,           0.0018377,           0.0018377,           0.0018377
                  55,           0.0043329,           0.0023653,           0.0001841,             0.98746,              0.9883,             0.99385,             0.76658,           0.0027381,           0.0013088,          1.8128e-05,           0.0018094,           0.0018094,           0.0018094
                  56,            0.003986,           0.0023202,          0.00014879,             0.98737,              0.9892,             0.99395,             0.76104,           0.0027967,           0.0013123,          1.7654e-05,            0.001781,            0.001781,            0.001781
                  57,           0.0040892,           0.0023393,          0.00015886,             0.98753,              0.9892,             0.99396,             0.76772,           0.0027475,           0.0012997,          1.7478e-05,           0.0017527,           0.0017527,           0.0017527
                  58,           0.0042007,            0.002383,           0.0001689,             0.98696,              0.9892,             0.99394,             0.75248,           0.0028844,           0.0013071,          1.7922e-05,           0.0017243,           0.0017243,           0.0017243
                  59,           0.0042128,           0.0024047,          0.00017819,             0.98745,              0.9892,             0.99395,             0.77398,           0.0026893,           0.0012878,          1.7128e-05,            0.001696,            0.001696,            0.001696
                  60,           0.0040038,           0.0023532,           0.0001507,              0.9872,              0.9892,             0.99401,             0.77001,           0.0027402,           0.0012881,          1.7117e-05,           0.0016677,           0.0016677,           0.0016677
                  61,            0.003989,           0.0023772,          0.00014951,             0.98666,              0.9892,             0.99401,             0.76802,           0.0027501,           0.0012884,          1.7602e-05,           0.0016393,           0.0016393,           0.0016393
                  62,           0.0042528,           0.0023644,          0.00014803,             0.98699,             0.98954,             0.99402,             0.77322,            0.002706,             0.00128,          1.7159e-05,            0.001611,            0.001611,            0.001611
                  63,           0.0040926,           0.0024185,          0.00014474,             0.98669,              0.9892,             0.99399,             0.76588,            0.002768,           0.0012868,          1.7024e-05,           0.0015826,           0.0015826,           0.0015826
                  64,           0.0040356,           0.0023291,          0.00015311,             0.98697,             0.98773,             0.99385,             0.77888,            0.002628,           0.0012696,          1.7117e-05,           0.0015543,           0.0015543,           0.0015543
                  65,           0.0040207,           0.0022987,          0.00015202,             0.98735,              0.9892,             0.99395,             0.77809,           0.0026662,           0.0012716,          1.5962e-05,           0.0015259,           0.0015259,           0.0015259
                  66,           0.0040885,            0.002319,           0.0001553,              0.9879,             0.98781,             0.99386,             0.76521,           0.0027676,           0.0012847,          1.7716e-05,           0.0014976,           0.0014976,           0.0014976
                  67,           0.0038844,           0.0023013,           0.0001485,             0.98712,             0.98781,             0.99392,             0.77047,           0.0027134,           0.0012737,          1.6488e-05,           0.0014692,           0.0014692,           0.0014692
                  68,           0.0042022,           0.0023817,          0.00015935,             0.98788,             0.98779,             0.99391,             0.76798,           0.0027376,           0.0012716,          1.6075e-05,           0.0014409,           0.0014409,           0.0014409
                  69,           0.0040175,           0.0023977,          0.00015341,             0.98797,             0.98781,             0.99389,             0.77183,           0.0027059,             0.00127,          1.6354e-05,           0.0014125,           0.0014125,           0.0014125
                  70,           0.0042396,           0.0023775,          0.00015936,             0.98764,              0.9892,             0.99393,             0.75911,           0.0028199,           0.0012836,          1.6374e-05,           0.0013842,           0.0013842,           0.0013842
                  71,           0.0042337,           0.0023206,          0.00015785,             0.98786,              0.9892,             0.99388,             0.76055,           0.0028229,           0.0012778,          1.6251e-05,           0.0013559,           0.0013559,           0.0013559
                  72,           0.0038956,            0.002284,          0.00015337,             0.98757,              0.9892,             0.99391,             0.78148,           0.0026083,           0.0012549,          1.6343e-05,           0.0013275,           0.0013275,           0.0013275
                  73,            0.003906,           0.0022329,          0.00014698,             0.98752,              0.9892,              0.9939,             0.76575,           0.0027641,           0.0012717,          1.6199e-05,           0.0012992,           0.0012992,           0.0012992
                  74,           0.0038734,           0.0023737,          0.00014062,             0.98791,             0.98909,             0.99392,             0.76387,           0.0027782,           0.0012715,          1.5982e-05,           0.0012708,           0.0012708,           0.0012708
                  75,           0.0038733,           0.0021879,          0.00014114,             0.98797,             0.98781,             0.99378,             0.76874,           0.0027308,           0.0012643,          1.5085e-05,           0.0012425,           0.0012425,           0.0012425
                  76,           0.0040506,           0.0023405,          0.00015591,             0.98757,             0.98781,             0.99382,             0.78068,           0.0026206,           0.0012498,          1.5126e-05,           0.0012141,           0.0012141,           0.0012141
                  77,           0.0038738,           0.0021939,          0.00014271,             0.98576,             0.99029,             0.99394,             0.75443,            0.002863,            0.001275,          1.5147e-05,           0.0011858,           0.0011858,           0.0011858
                  78,           0.0041857,           0.0023254,          0.00014873,              0.9885,             0.98829,              0.9938,             0.77518,           0.0026714,           0.0012522,          1.4806e-05,           0.0011574,           0.0011574,           0.0011574
                  79,           0.0041853,           0.0023368,          0.00016688,             0.98821,             0.98826,             0.99382,             0.75176,           0.0028806,           0.0012708,          1.5126e-05,           0.0011291,           0.0011291,           0.0011291
                  80,           0.0040129,           0.0022429,          0.00013977,             0.98796,             0.98978,             0.99392,             0.77668,           0.0026608,           0.0012494,           1.559e-05,           0.0011008,           0.0011008,           0.0011008
                  81,           0.0041021,           0.0023182,          0.00016141,             0.98787,             0.98781,             0.99381,             0.77445,           0.0026827,           0.0012522,           1.558e-05,           0.0010724,           0.0010724,           0.0010724
                  82,           0.0040444,           0.0023768,          0.00014943,             0.98771,              0.9892,             0.99394,             0.75529,           0.0028637,           0.0012695,          1.5301e-05,           0.0010441,           0.0010441,           0.0010441
                  83,           0.0040086,           0.0023381,          0.00016082,             0.98738,              0.9892,             0.99393,             0.76682,           0.0027598,           0.0012558,          1.5662e-05,           0.0010157,           0.0010157,           0.0010157
                  84,           0.0040477,           0.0023554,          0.00015325,             0.98811,             0.98919,             0.99394,             0.77356,           0.0026977,           0.0012495,          1.4909e-05,          0.00098737,          0.00098737,          0.00098737
                  85,              0.0039,           0.0022414,          0.00016924,             0.98815,             0.98909,             0.99395,              0.7704,           0.0027252,           0.0012529,          1.5095e-05,          0.00095903,          0.00095903,          0.00095903
                  86,             0.00391,           0.0022974,          0.00014202,             0.98849,             0.98802,             0.99384,              0.7653,           0.0027698,           0.0012586,          1.4569e-05,          0.00093068,          0.00093068,          0.00093068
                  87,           0.0041237,           0.0023729,          0.00017521,             0.98849,             0.98797,             0.99386,             0.78099,           0.0026248,           0.0012443,          1.5012e-05,          0.00090234,          0.00090234,          0.00090234
                  88,           0.0040722,           0.0022831,          0.00014543,             0.98706,             0.98738,             0.99384,             0.78873,           0.0025344,           0.0012307,          1.5239e-05,          0.00087399,          0.00087399,          0.00087399
                  89,           0.0041659,           0.0023872,          0.00018848,             0.98679,             0.98905,             0.99397,             0.77224,           0.0027189,           0.0012497,          1.5116e-05,          0.00084565,          0.00084565,          0.00084565
                  90,           0.0040034,           0.0023563,          0.00015829,              0.9883,             0.98714,             0.99388,             0.76585,           0.0027629,           0.0012515,           1.526e-05,           0.0008173,           0.0008173,           0.0008173
                  91,           0.0039888,           0.0023342,          0.00017574,             0.98832,              0.9871,             0.99388,              0.7762,           0.0026755,           0.0012414,          1.4775e-05,          0.00078896,          0.00078896,          0.00078896
                  92,           0.0039991,           0.0021887,          0.00016233,             0.98829,              0.9872,             0.99388,              0.7852,           0.0025753,           0.0012317,           1.492e-05,          0.00076061,          0.00076061,          0.00076061
                  93,           0.0039455,           0.0022612,           0.0001433,             0.98804,             0.98916,             0.99398,             0.77396,           0.0027053,           0.0012428,          1.5085e-05,          0.00073227,          0.00073227,          0.00073227
                  94,           0.0039142,           0.0023258,          0.00012685,             0.98711,             0.98851,             0.99399,             0.77458,           0.0026904,           0.0012377,          1.5002e-05,          0.00070392,          0.00070392,          0.00070392
                  95,           0.0039614,           0.0023141,          0.00015091,             0.98833,              0.9886,             0.99397,             0.77067,           0.0027314,           0.0012447,          1.5085e-05,          0.00067558,          0.00067558,          0.00067558
                  96,           0.0040903,           0.0022772,          0.00016874,             0.98837,             0.98855,             0.99397,              0.7806,           0.0026246,           0.0012335,          1.5147e-05,          0.00064723,          0.00064723,          0.00064723
                  97,           0.0039405,           0.0022401,          0.00016134,             0.98833,             0.98713,             0.99385,             0.78562,           0.0025635,           0.0012243,          1.5105e-05,          0.00061889,          0.00061889,          0.00061889
                  98,           0.0038095,           0.0021678,           0.0001309,             0.98838,             0.98694,             0.99385,              0.7834,           0.0025825,           0.0012244,          1.4992e-05,          0.00059054,          0.00059054,          0.00059054
                  99,           0.0039481,           0.0022144,          0.00014674,             0.98844,             0.98641,             0.99388,             0.77275,           0.0027072,           0.0012392,          1.4497e-05,           0.0005622,           0.0005622,           0.0005622
